1,2,3,4,5,6,7,A,C,E,N,Q,R,W,B,D,F,M,L,G,J,Z
181 St,Chambers St,116 St,,174 St,Morrison Av-Soundview,,W 4 St-Wash Sq,86 St,,Astoria-Ditmars Blvd,,5 Av/59 St,,167 St,174-175 Sts,34 St-Herald Sq,Jackson Hts-Roosevelt Av,,,Jamaica Center-Parsons/Archer,
191 St,14 St,125 St,,West Farms Sq-E Tremont Av,St Lawrence Av,,14 St,96 St,,96 St,,Lexington Av/59 St,,170 St,Tremont Av,42 St-Bryant Pk,Elmhurst Av,,,,
Dyckman St,34 St-Penn Station,135 St,,E 180 St,Parkchester,,34 St-Penn Station ,103 St,,,,Queens Plaza,,174-175 Sts,182-183 Sts,47-50 Sts Rockefeller Ctr,Grand Av-Newtown,,,,
207 St,Times Sq-42 St,145 St,,Bronx Park East,,,42 St-Port Authority Bus Terminal,Cathedral Pkwy (110 St),,,,36 St,,Tremont Av,Fordham Rd,57 St,Woodhaven Blvd,,,,
215 St,72 St,Harlem-148 St,,Pelham Pkwy,,,59 St-Columbus Circle,116 St,,,,Steinway St,,Lexington Av/63 St,Kingsbridge Rd,Lexington Av/63 St,63 Dr-Rego Park,,,,
Marble Hill-225 St,96 St,,,Morris Park,,,125 St,125 St,,,,46 St,,182-183 Sts,Bedford Park Blvd,Roosevelt Island ,67 Av,,,,
231 St,Central Park North (110 St),,,Allerton Av,,,145 St,135 St,,,,Northern Blvd,,72 St,Norwood-205 St,S21 St-Queensbridge ,Forest Hills-71 Av,,,,
238 St,116 St,,,Pelham Pkwy,,,168 St,145 St,,,,65 St,,Fordham Rd,,Jackson Hts-Roosevelt Av,,,,,
Van Cortlandt Park-242 St,125 St,,,Burke Av,,,175 St,155 St,,,,Jackson Hts-Roosevelt Av,,Kingsbridge Rd,,Forest Hills-71 Av,,,,,
,135 St,,,Gun Hill Rd,,,181 St,163 St-Amsterdam Av,,,,Elmhurst Av,,86 St,,75 Av,,,,,
,149 St-Grand Concourse,,,Gun Hill Rd,,,190 St,168 St,,,,Grand Av-Newtown,,96 St,,Kew Gardens-Union Tpke,,,,,
,3 Av-149 St,,,219 St,,,Dyckman St,,,,,Woodhaven Blvd,,Bedford Park Blvd,,Briarwood,,,,,
,Jackson Av,,,225 St,,,Inwood-207 St,,,,,63 Dr-Rego Park,,,,Sutphin Blvd,,,,,
,Prospect Av,,,Baychester Av,,,,,,,,67 Av,,,,169 St,,,,,
,Intervale Av,,,233 St,,,,,,,,Forest Hills-71 Av,,,,Jamaica-179 St,,,,,
,Simpson St,,,Nereid Av,,,,,,,,,,,,,,,,,
,Freeman St,,,Eastchester-Drye Av,,,,,,,,,,,,,,,,,
,174 St,,,,,,,,,,,,,,,,,,,,
,West Farms Sq-E Tremont Av,,,,,,,,,,,,,,,,,,,,
,E 180 St,,,,,,,,,,,,,,,,,,,,
,Bronx Park East,,,,,,,,,,,,,,,,,,,,
,Pelham Pkwy,,,,,,,,,,,,,,,,,,,,
,Allerton Av,,,,,,,,,,,,,,,,,,,,
,Burke Av,,,,,,,,,,,,,,,,,,,,
,Gun Hill Rd,,,,,,,,,,,,,,,,,,,,
,219 St,,,,,,,,,,,,,,,,,,,,
,225 St,,,,,,,,,,,,,,,,,,,,
,233 St,,,,,,,,,,,,,,,,,,,,
,Nereid Av,,,,,,,,,,,,,,,,,,,,
,Wakefield-241 St,,,,,,,,,,,,,,,,,,,,
